word,arti,contoh,bahasa
ABADI,kekal,tidak ada kehidupan yang -- di dunia ini,
ABAKA,tumbuhan yang seratnya dibuat tali belati,,
ABANG,kakak laki-laki,--nya tiga tahun lebih tua,
ABANO,kepuh,,
ABATE,kayu yang patah,,Serua
ABAWI,pihak ayah,,
ABAYA,"busana khas Arab, umumnya berwarna hitam dan berpotongan longgar dan panjang, dikenakan sebagai baju luar ketika berada di luar rumah",,Tata Busana
ABDAS,cari: berabdas,,prakategorial
ABDIS,kata sapaan kepada kepala biara perempuan,,Agama Katolik
ABDUL,→ abdu,,
ABECE,a-b-c (abjad Latin),,
ABELI,menjual barang dagangan dengan cara berjalan keliling dari satu tempat ke tempat lain sambil berteriak,,Alune
ABIAN,"pembagian hasil ladang atau tegalan, pemilik dan penggarap masing-masing mendapat setengah dari hasil keseluruhan",,
ABILA,"wadah kotak menyerupai koper, dibuat dari anyaman daun gebang, biasa digunakan untuk menyimpan pakaian",,Gorontalo
ABINA,kemampuan batin yang tinggi hasil meditasi,,Agama Buddha
ABING,sebutan tambahan untuk saudara laki-laki atau perempuan yang meninggal,,
ABITI,mengangkat bahu,,
ABJAD,kumpulan huruf (aksara) berdasarkan urutan yang lazim dalam bahasa tertentu,,
ABJAT,→ abjad,,
ABLUR,→ hablur,,
ABNON,abang dan none,,akronim
ABNUS,kayu arang,,Arkais
ABOBO,"tas bertutup terbuat dari anyaman daun pandan laut, berukuran 50 x 50 cm, digunakan untuk menyimpan rempah-rempah, ikan asin, dan beras",,Gorontalo
ABONE,pelanggan,,
ABOYA,pisang batu yang sudah masak,,Gorontalo
ABPAR,"cawat (dari kulit kayu, kain, dan sebagainya)",,Putuk
ABRAB,suku bangsa yang tinggal di perbatasan Papua dan Papua Nugini,,
ABRAG,perkakas dalam rumah tangga,sepasang pengantin baru itu belum memiliki --,Jawa
ABRAK,bahan galian yang jernih seperti kaca,,Arkais
ABRAP,→ Abrab,,
ABRAR,saleh (banyak berbuat kebajikan),,Arab
ABRAS,kusta,,
ABREK,cari: seabrek,,prakategorial
ABRIN,zat toksik yang menyebabkan aglutinasi butir darah merah,,
ABRIP,"ajun brigadir polisi (pangkat tamtama polisi, di atas abriptu dan di bawah bripda)",,akronim
ABROP,→ Abrab,,
ABSAH,sah,surat keterangan ini tidak --,
ABSEN,"tidak masuk (sekolah, kerja, dan sebagainya)",,
ABSES,radang jaringan tubuh yang memungkinkan timbulnya rongga tempat nanah mengumpul,,Kedokteran dan Fisiologi
ABSIS,jarak titik terhadap sumbu tegak,,Matematika
ABTAR,kudung,,
ABUAN,bagian hasil sawah yang disediakan untuk yang mengerjakan,,
ABUBU,kayu yang sudah lapuk,,Modole
ABUDO,kata sapaan atau panggilan kepada kakek oleh cucu dari anak laki-laki,,Sentani
ABUJA,ibu kota negara Nigeria,,
ABUMI,kata sapaan atau panggilan kepada nenek oleh cucu dari anak laki-laki,,Sentani
ABUNG,"suku bangsa yang tinggal di Kecamatan Kayu Agung dan Kecamatan Mesuji, Kabupaten Ogan Komering Ilir, Provinsi Sumatera Selatan, diperkirakan merupakan bagian dari suku bangsa Lampung, disebut juga Abung Bunga Mayang",,
ABUYA,buya,,
ABUZA,tidak dapat dipercaya lagi atau kehilangan wibawa karena melakukan sesuatu yang menghancurkan reputasinya,"sejak dipenjara, kepala desa itu menjadi --",Nias
ABYAD,putih,,Arab
ABYOR,tersebar merata gemerlapan (tentang bintang),bintang-bintang di angkasa --,Jawa
ACALA,"arca yang tidak dapat dipindah-pindahkan, biasanya dibuat dari batu dan diletakkan di tempat yang paling suci dalam rumah pendewaan",,Arkeologi
ACANG,perkakas kecil untuk menunjukkan keadaan air dalam ketel dan sebagainya,,Pelayaran
ACARA,"hal atau pokok yang akan dibicarakan (dalam rapat, perundingan, dan sebagainya)",-- kongres akan disusun oleh panitia khusus,
ACAWI,tukang kayu,,Klasik
ACENG,nama panggilan untuk putra ajengan,,Sunda
ACIAN,hasil mengaci,,
ACOAN,sembrono,,
ACUAN,"cetakan (kue, peluru, dan sebagainya)",,
ACUCI,membersihkan najis yang terdapat pada lubang pembuangan (seperti dubur) pada jenazah,,
ACUNG,"cari: acungan, mengacung, mengacung-acungkan, mengacungi, mengacungkan",,prakategorial
ADACI,adat atau sarana yang digunakan dalam menyelesaikan setiap persoalan yang berhubungan dengan adat istiadat suku Culambacu di Sulawesi Tenggara,,Culambacu
ADAKS,"antelop berbulu warna terang, hidup di Afrika Utara, Arab, dan Siria",,
ADAMU,penguasa tanah yang dipercaya oleh masyarakat setempat,,Muna
ADANG,halang,,
ADATI,bersifat adat,,
ADELO,"flek hitam yang menempel pada pantat, leher, ketiak, dan lekukan-lekukan badan bagian dalam",,Gorontalo
ADENA,bagian ujung gagang pedang yang melindungi tangan,,Kaili
ADESI,→ adhesi,,
ADHAN,→ azan,,
ADIDI,keranjang yang terbuat dari rotan,,Gorontalo
ADIKA,lebih,,
ADING,adik,,Cakapan
ADION,"ion yang dijerap pada suatu permukaan dan menempel sehingga ion itu bebas bergerak, tetapi tidak lepas dari permukaan tersebut",,Fisika
ADIOS,selamat jalan,,Ungkapan
ADISI,penambahan yang dilakukan secara terus-menerus,,
ADITI,ibu para dewa,,Agama Hindu
ADLIB,ad libitum,,Latin
ADMIN,administrator,,kependekan
ADNAN,nama surga,,Arab
ADOBE,bata mentah,,
ADOLU,batang atau dahan kayu yang busuk,,Nias
ADONG,ubi yang telah berurat ungu sehingga keras dan tidak enak lagi dimakan,,Pertanian
ADORA,"suku bangsa yang mendiami pesisir pantai utara Papua atau wilayah Memberamo Hilir, Kabupaten Jayapura, Provinsi Papua",,
ADPEL,administrasi pelabuhan,,akronim
ADPIS,→ advis,,
ADRES,alamat (surat),,Cakapan
ADUAN,perlombaan,~ sapi,
ADUNG,hampal,,
ADVEN,peringatan kedatangan Yesus dalam inkarnasinya serta penantian dan pengharapan akan kedatangan-Nya kembali,,Latin
ADVIS,nasihat,,
ADZAB,→ azab,,
ADZAN,→ azan,,
AEROB,sifat makhluk yang untuk hidup dan pertumbuhannya memerlukan oksigen bebas,,Biologi
AFAIR,hubungan asmara yang berlangsung singkat (tidak dilanjutkan dengan perkawinan),,
AFARA,"tikar lebar yang digunakan untuk menjemur padi, cengkeh dan sebagainya",,Nias
AFDAL,lebih baik,salat baru -- apabila dilaksanakan dengan baik dan tidak menyimpang dari rukunnya,
AFDOL,→ afdal,,
AFIAN,orang yang membuat pernyataan di bawah sumpah dalam bentuk afidavit,,Hukum
AFIAT,sehat,syukurlah engkau dalam keadaan sehat dan --,
AFIKS,"bentuk terikat (seperti prefiks, infiks, konfiks, dan sufiks) yang apabila ditambahkan pada kata dasar atau bentuk dasar akan mengubah makna gramatikal",,Linguistik
AFKIR,tidak dapat dipakai,,
AFOKA,buah pisang yang terlepas dari tangkainya karena sangat matang,,Tobelo
AFORE,"alat ukur yang terbuat dari kayu berskala, digunakan untuk menghitung panjang benang yang dipakai untuk mengukur lingkar dada hewan peliharaan (misalnya babi)",,Nias
AFRIT,setan atau jin yang melakukan pekerjaan dengan tipu daya dan cara yang keji,,
AFSUN,pesona,,Arkais
AFTAB,matahari,,Arkais
AFUAH,→ afwah,,
AFWAH,tuah (oleh kesucian),,
AFWAN,ungkapan permohonan maaf,-- jika ada yang kurang berkenan,Partikel
AGADI,pahat tipis yang digunakan untuk menyadap nira,,Batak
AGAMA,"ajaran, sistem yang mengatur tata keimanan (kepercayaan) dan peribadatan kepada Tuhan Yang Maha Kuasa serta tata kaidah yang berhubungan dengan pergaulan manusia dan manusia serta manusia dan lingkungannya",-- Islam,
AGAMI,kelompok manusia yang tidak mempunyai peraturan yang mengharuskan atau melarang perkawinan,,
AGAPE,perjamuan persaudaraan yang dilangsungkan sesudah ibadat ekaristi dengan mengundang umat yang kurang mampu,,Arkais
AGEGA,tungkai yang berbentuk O,,Nias
AGENS,"nomina yang menampilkan perbuatan, yang menyebabkan, yang memulai suatu kejadian, atau yang memengaruhi suatu proses",,Linguistik
AGIUM,komunitas pantai,,Biologi
AGLAF,belum disunat,,Arab
AGLET,"selubung dari plastik atau logam yang menutupi ujung tali, pita, dan sebagainya",,
AGOGO,"tarian yang diiringi dengan musik pop di kelab malam, diskotek, dan sebagainya",,Kesenian
AGONI,membersihkan rumput sebelum ditanami padi,,Jawa
AGRAD,tanaman budi daya,,Biologi
AGRIN,sakit yang mengakibatkan badan menjadi sangat kurus,"karena patah hati, dia berhari-hari tidak mau makan sehingga akhirnya --",Jawa
AGUNG,besar,kita kedatangan tamu -- dari negara tetangga,
AHANG,"mati tanpa sebab (tentang hewan), biasanya hanya tersisa bulu atau tulang-belulangnya",seekor orang utan ditemukan -- di hutan itu,Dayak
AHARE,atap rumah yang terbuat dari susunan batang kayu yang kecil,,
AHAUN,"kumpulan beberapa jenis makanan yang disusun di atas talam, biasanya disajikan saat upacara adat",ibu-ibu di Pulau Haruku berjalan dengan -- di atas kepala,
AHIDO,"makanan yang terbuat dari beras yang dibungkus dengan daun pisang, diisi air, dan dimasukkan ke dalam bambu, dan dibakar hingga matang, biasanya dihidangkan pada acara tertentu",,Modole
AHING,penutup bubu yang bisa dibuka dan ditutup untuk menjebak ikan,nelayan rugi besar karena -- pada bubunya rusak,
AHIRE,mata kail yang terbuat dari besi,,Yalahatan
AHKAM,hukum,,Arkais
AHLAH,singkong yang berbonggol besar,,Kola
AHLAK,→ akhlak,,
AHMAK,bodoh,,Klasik
AHMAR,merah,,Arab
AHMER,ahli meriam,,akronim
AHOLA,"menebarkan jaring di pinggir pantai, memukul permukaan air dengan bambu agar ikan berkumpul ke arah jaring, lalu menarik jaring",dia mendapat ikan banyak setelah -- di pinggir pantai,
AHORI,"ritual adat di Jazirah Leitimor, Maluku, untuk memperkenalkan istri kepada keluarga suami",,
AHSAN,lebih baik,,Arab
AHUDU,tempat yang nyaman dan menyenangkan sehingga selalu didatangi orang,,Gorontalo
AHUNI,mengembalikan kesadaran seseorang yang kerasukan,tetua adat melakukah -- dengan memercikkan air ke wajah orang yang kerasukan,
AHUTU,"konde yang berasal dari rambut sendiri, lazim digunakan di suku Iha, Maluku",,
AHWAL,keadaan,,
AIHOI,serpihan kayu yang terbuang pada pembuatan perahu,,Boing
AIPDA,ajun inspektur polisi dua,,akronim
AIRAN,"minuman tradisional Turki yang terbuat dari yogur, air, dan garam, biasanya disajikan dingin saat musim panas",,
AIRUD,perairan dan udara,,akronim
AJAIB,ganjil,pertunjukan yang --,
AJANG,tempat untuk makan sesuatu (piring dan sebagainya),,Jawa
AJARA,kuda sembrani (dalam dongeng),,Kulisusu
AJENG,kurungan untuk ayam yang berkontes,,Sunda
AJIAN,ilmu,,
AJING,seni pertunjukan tradisional masyarakat Madura,,Madura
AJNAS,jenis,,Arab
AJOLI,pihak pengantin laki-laki yang tidak dibukakan pintu apabila tidak memberikan uang kepada penjaga pintu,,Wolio
AJUAN,hasil mengajukan,tidak kurang dari tiga ~ proposal yang diterima oleh panitia untuk seminar pada bulan Desember yang akan datang,
AJUNA,"perlengkapan atau hiasan yang dipakai laki-laki dewasa, terbuat dari manik-manik dari biji pohon",,Awyu
AJUNG,→ jung (1),,
AKAID,kepercayaan agama yang telah pasti dan tidak boleh dipersoalkan lagi,,Arab
AKANG,kakak (laki-laki),,Sunda
AKASA,angkasa,,Klasik
AKBAR,besar,rapat --,
AKBID,Akademi Kebidanan,,akronim
AKENE,"buah kering yang hanya berbiji satu, setelah matang kulit buahnya tetap tidak terbuka",,Botani
AKEUL,"mengaduk-aduk nasi setelah dikukus, sambil dikipasi supaya pulen dan tidak cepat basi",,Sunda
AKHIR,belakang,suku kata yang --,
AKHLI,→ ahli (1),,
AKING,sisa nasi yang sudah kering (karena dijemur),,
AKMAL,amat sempurna,Tuhan Yang --,
AKMIL,Akademi Militer,,akronim
AKPEN,akademi penerangan,,akronim
AKPER,akademi perawatan,,akronim
AKPOL,akademi kepolisian,,akronim
AKPRI,Angkatan Perang Republik Indonesia,,akronim
AKRAB,dekat dan erat (tentang persahabatan),dalam rapat itu terdapat suasana yang --,
AKRUK,sebutan untuk orang yang memiliki dua tangan yang tidak sama panjang,,Kur
AKSEN,tekanan suara pada kata atau suku kata,suku kata yang mengandung pepet dalam bahasa Indonesia tidak mendapat --,Linguistik
AKSEP,surat pengakuan utang,,Keuangan
AKSES,jalan masuk,seluruh pembangunan -- ini dibiayai oleh dana obligasi,
